Exchange Date	Close	Adjusted Close	Net	%Chg	Open	Low	High	Volume		
22-Nov-24	229.04		2.48	1.09%	227.5	226.91	229.94	"3,050,367"		
21-Nov-24	226.56		-1.44	-0.63%	229.18	226.02	229.18	"1,864,641"		
20-Nov-24	228		-1.66	-0.72%	230.54	226.2	230.59	"2,114,027"		
19-Nov-24	229.66		2.1	0.92%	226.77	225.69	230.74	"1,971,885"		
18-Nov-24	227.56		2.28	1.01%	225.47	225.02	228.26	"1,347,238"		
15-Nov-24	225.28		1.86	0.83%	223.71	222.56	226.67	"2,125,179"		
14-Nov-24	223.42		-4.72	-2.07%	228.04	222.88	228.92	"1,817,088"		
13-Nov-24	228.14		1.83	0.81%	226.73	226.19	228.58	"1,960,002"		
12-Nov-24	226.31		0.38	0.17%	226.71	225.78	227.96	"1,496,424"		
11-Nov-24	225.93		0.27	0.12%	226.93	225.56	227.93	"1,263,917"		
8-Nov-24	225.66		3.62	1.63%	223.72	222.88	227.52	"1,798,000"		
7-Nov-24	222.04		0.87	0.39%	221.77	220.41	223	"1,999,485"		
6-Nov-24	221.17		-4.02	-1.79%	226.14	213.94	226.38	"3,663,325"		
5-Nov-24	225.19		2.11	0.95%	223.24	223	225.44	"1,182,956"		
4-Nov-24	223.08		-0.53	-0.24%	223.71	221.01	225.04	"1,193,268"		
1-Nov-24	223.61		-1.75	-0.78%	224.55	223.4	225.67	"1,318,587"		
31-Oct-24	225.36		-1.9	-0.84%	228.23	224.86	228.23	"1,662,999"		
30-Oct-24	227.26		0.17	0.07%	226.07	225.47	227.85	"1,211,316"		
29-Oct-24	227.09		-1.03	-0.45%	228.96	227.06	229.11	"1,286,162"		
28-Oct-24	228.12		1.98	0.88%	226.1	225.57	228.81	"1,327,357"		
25-Oct-24	226.14		-3.55	-1.55%	229.47	225.3	229.47	"974,728"		
24-Oct-24	229.69		2.55	1.12%	226.78	226.22	230.36	"1,360,452"		
23-Oct-24	227.14		0.97	0.43%	221.01	220.95	227.79	"2,044,145"		
22-Oct-24	226.17		-0.88	-0.39%	226.8	225.41	227.24	"1,933,648"		
21-Oct-24	227.05		-1.27	-0.56%	226.61	225.99	228.03	"1,138,187"		
18-Oct-24	228.32		1.09	0.48%	227.23	226	229.14	"1,203,010"		
17-Oct-24	227.23		0.06	0.03%	228.21	226.88	230.12	"1,816,833"		
16-Oct-24	227.17		2.35	1.05%	223.77	223.68	227.28	"1,248,203"		
15-Oct-24	224.82		0.62	0.28%	224.31	222.95	225.89	"1,589,898"		
14-Oct-24	224.2		2.48	1.12%	221.63	221.42	224.29	"1,429,407"		
11-Oct-24	221.72		0.47	0.21%	221.86	220.3	221.93	"1,123,088"		
10-Oct-24	221.25		-0.21	-0.09%	222	220.11	222.35	"958,079"		
9-Oct-24	221.46		-0.22	-0.10%	221.09	220.56	223.01	"1,488,878"		
8-Oct-24	221.68		-0.05	-0.02%	222.85	220.56	223.84	"2,138,388"		
7-Oct-24	221.73		-2.7	-1.20%	225.13	221.25	226.5	"3,023,063"		
4-Oct-24	224.43		0.16	0.07%	224.27	222.05	224.81	"1,585,768"		
3-Oct-24	224.27		0.7	0.31%	224.66	223.68	226.78	"1,820,134"		
2-Oct-24	223.57		-1.71	-0.76%	225.95	221.15	225.95	"2,191,723"		
1-Oct-24	225.28		4.63	2.10%	221	218.09	225.32	"2,043,429"		
30-Sep-24	220.65		2.35	1.08%	219	217.23	221.36	"1,835,837"		
27-Sep-24	218.3		-0.17	-0.08%	218.47	218.09	220	"1,840,225"		
26-Sep-24	218.47		0.95	0.44%	217.54	216.74	218.98	"2,076,295"		
