Dates	Close
Jun-30-2023	13.59
Jul-03-2023	13.57
Jul-04-2023	13.70
Jul-05-2023	14.18
Jul-06-2023	15.44
Jul-07-2023	14.83
Jul-10-2023	15.07
Jul-11-2023	14.84
Jul-12-2023	13.54
Jul-13-2023	13.61
Jul-14-2023	13.34
Jul-17-2023	13.48
Jul-18-2023	13.30
Jul-19-2023	13.76
Jul-20-2023	13.99
Jul-21-2023	13.60
Jul-24-2023	13.91
Jul-25-2023	13.86
Jul-26-2023	13.19
Jul-27-2023	14.41
Jul-28-2023	13.33
Jul-31-2023	13.63
Aug-01-2023	13.93
Aug-02-2023	16.09
Aug-03-2023	15.92
Aug-04-2023	17.10
Aug-07-2023	15.77
Aug-08-2023	15.99
Aug-09-2023	15.96
Aug-10-2023	15.85
Aug-11-2023	14.84
Aug-14-2023	14.82
Aug-15-2023	16.46
Aug-16-2023	16.78
Aug-17-2023	17.89
Aug-18-2023	17.30
Aug-21-2023	17.13
Aug-22-2023	16.97
Aug-23-2023	15.98
Aug-24-2023	17.20
Aug-25-2023	15.68
Aug-28-2023	15.08
Aug-29-2023	14.45
Aug-30-2023	13.88
Aug-31-2023	13.57
Sep-01-2023	13.09
Sep-04-2023	13.82
Sep-05-2023	14.01
Sep-06-2023	14.45
Sep-07-2023	14.40
Sep-08-2023	13.84
Sep-11-2023	13.80
Sep-12-2023	14.23
Sep-13-2023	13.48
Sep-14-2023	12.82
Sep-15-2023	13.79
Sep-18-2023	14.00
Sep-19-2023	14.11
Sep-20-2023	15.14
Sep-21-2023	17.54
Sep-22-2023	17.20
Sep-25-2023	16.90
Sep-26-2023	18.94
Sep-27-2023	18.22
Sep-28-2023	17.34
Sep-29-2023	17.52
Oct-02-2023	17.61
Oct-03-2023	19.78
Oct-04-2023	18.58
Oct-05-2023	18.49
Oct-06-2023	17.45
Oct-09-2023	17.70
Oct-10-2023	17.03
Oct-11-2023	16.09
Oct-12-2023	16.69
Oct-13-2023	19.32
Oct-16-2023	17.21
